"","director","name","score","year","foreign"
"1","3.5","3.5",3.5,2003,FALSE
"2","4.9","4.9",4.9,2005,FALSE
"3","5.9","5.9",5.9,2003,FALSE
"4","A. J. Edwards","The Better Angels",4.8,2014,FALSE
"5","Aaron Fernandez","The Empty Hours",7,2013,FALSE
"6","Aaron Harnick","30 Days",4.5,2000,FALSE
"7","Aaron Katz","Cold Weather",6.6,2011,FALSE
"8","Aaron Katz","Gemini",7,2018,FALSE
"9","Aaron Katz","Quiet City",7,2007,FALSE
"10","Aaron Katz and Martha Stephens","Land Ho",6,2014,FALSE
"11","Aaron Schneider","Get Low",6.5,2010,FALSE
"12","Aaron Sorkin","Molly<U+0092>s Game",6.6,2017,FALSE
"13","Aaron Wilson","Canopy",6.8,2014,FALSE
"14","Aaron Woodley","Tennessee",4.5,2009,FALSE
"15","Abbas Kiarostami","24 Frames",7,2017,FALSE
"16","Abbas Kiarostami","Certified Copy",6.5,2010,FALSE
"17","Abbas Kiarostami","Like Someone in Love",7,2012,FALSE
"18","Abbas Kiarostami","Shirin",6.5,2008,FALSE
"19","Abbas Kiarostami","Ten",7,2002,FALSE
"20","Abbas Kiarostami","The Wind Will Carry Us",7.2,1999,FALSE
"21","Abbas Tyrewalla","Jaane Tu",5,2008,FALSE
"22","Abby Kohn & Marc Silverstein","I Feel Pretty",5,2018,FALSE
"23","Abdellatif Kechiche"," Blue is the Warmest Color",6.6,2013,TRUE
"24","Abdellatif Kechiche","Games of Love and Chance",7,2005,FALSE
"25","Abdellatif Kechiche","L'Esquive",7,2005,FALSE
"26","Abderrahmane Sissako","Bamako",7,2006,FALSE
"27","Abderrahmane Sissako","Timbuktu",6.9,2014,FALSE
"28","Abderrahmane Sissako","Waiting for Happiness",7.2,2002,FALSE
"29","Abderrahmane Sissako","Waiting For Happiness",6.8,2002,FALSE
"30","Abdullah Oguz","Bliss",7.1,2007,FALSE
"31","Abe Sylvia","Dirty Girl",6,2011,FALSE
"32","Abel Ferrara","'R Xmas",6,2002,FALSE
"33","Abel Ferrara","4:44 Last Day on Earth",7,2011,FALSE
"34","Abel Ferrara","Blackout",6.6,1998,FALSE
"35","Abel Ferrara","Go Go Tales",7,2007,FALSE
"36","Abel Ferrara","New Rose Hotel",6.5,1999,FALSE
"37","Abel Ferrara","Welcome to New York",6.5,2014,FALSE
"38","Abhishek Kapoor","Kai Po Che",5,2013,FALSE
"39","Abhishek Kapoor","Rock On",5,2008,FALSE
"40","Abhishek Sharma","Tere Bin Laden",6,2010,FALSE
"41","Abhishek Varman: Abhishek Varman","2 States",6.2,2014,FALSE
"42","Abu-Assad","Rana's Wedding",5,2003,FALSE
"43","Achero Manas","El Bola",7,2002,FALSE
"44","Adam Abraham","Man of the Century",6.6,1999,FALSE
"45","Adam Bernstein","Six Ways To Sunday",6.5,1999,FALSE
"46","Adam Brooks","Definitely Maybe",6.5,2008,FALSE
"47","Adam Brooks","Invisible Circus",4.5,2001,FALSE
"48","Adam Carolla","Road Hard",5,2015,FALSE
"49","Adam Collis","Sunset Strip",5,2000,FALSE
"50","Adam Elliot","Mary & Max",7.1,2009,FALSE
"51","Adam Goldberg","I Love Your Work",5,2005,FALSE
"52","Adam Green","Frozen",6,2010,FALSE
"53","Adam Green","Hatchet",4,2007,FALSE
"54","Adam Kane","Formosa Betrayed",6,2010,FALSE
"55","Adam Larson Broder","Pumpkin",5,2002,FALSE
"56","Adam Leon","Gimme the Loot",6.7,2012,FALSE
"57","Adam MacDonald","Backcountry",7,2014,FALSE
"58","Adam Marcus","Let It Snow",5,2001,FALSE
"59","Adam McKay","Anchorman",5.5,2004,FALSE
"60","Adam McKay","Anchorman 2 - The Legend Continues",4.2,2013,FALSE
"61","Adam McKay","Step Brothers",5,2008,FALSE
"62","Adam McKay","The Big Short",7.1,2015,FALSE
"63","Adam McKay","The Other Guys",5,2010,FALSE
"64","Adam Rapp","Loitering With Intent",4.5,2015,FALSE
"65","Adam Rapp","Winter Passing",6,2006,FALSE
"66","Adam Reid","Hello Lonesome",6,2011,FALSE
"67","Adam Rifkin","Detroit Rock City",4.5,1999,FALSE
"68","Adam Rifkin","Look",6.5,2007,FALSE
"69","Adam Rifkin","Night at the Golden Eagle",6,2002,FALSE
"70","Adam Rifkin","The Last Movie Star",4.6,2018,FALSE
"71","Adam Rodgers","At Middleton",6.9,2014,FALSE
"72","Adam Salky","Dare",6.9,2009,FALSE
"73","Adam Sandler","Click",5,2006,FALSE
"74","Adam Shankman","A Walk To Remember",4,2002,FALSE
"75","Adam Shankman","Bringing Down the House",5,2003,FALSE
"76","Adam Shankman","Cheaper by the Dozen 2",3.5,2005,FALSE
"77","Adam Shankman","Hairspray",5,2007,FALSE
"78","Adam Shankman","Rock of Ages",5,2012,FALSE
"79","Adam Shankman","The Pacifier",5,2005,FALSE
"80","Adam Shankman","The Wedding Planner",5,2001,FALSE
"81","Adam Sherman","Crazy Eyes",5,2012,FALSE
"82","Adam Sherman","Happiness Runs",5,2010,FALSE
"83","Adam Smith","Trespass Against Us",4,2017,FALSE
"84","Adam Vardy","Mendy A Question of Faith",5,2006,FALSE
"85","Adam Watstein","Loudmouth Soup",6.3,2005,FALSE
"86","Adam Wingard","Blair Witch",5,2016,FALSE
"87","Adam Wingard","Death Note",5.8,2017,FALSE
"88","Adam Wingard","The Guest",6.4,2014,FALSE
"89","Adam Wingard","You're Next",6,2013,FALSE
"90","Adam Wingard and Joe Swanberg","Autoerotic",5,2011,FALSE
"91","Adina Pintilie","Touch Me Not",7,2018,FALSE
"92","Aditya Assarat","Wonderful Town",7.3,2007,FALSE
"93","Adolfo Borinaga Alix","Adela",6.5,2009,FALSE
"94","Adrian-Garcia Bogliano"," Rooms for Tourists",6,2005,TRUE
"95","Adrian Biniez","Gigante",6.5,2009,FALSE
"96","Adrian Garcia Bogliano","Here Comes the Devil",5,2013,FALSE
"97","Adrian Garcia Bogliano","Late Phases",6,2014,FALSE
"98","Adrian Lyne","Lolita",6,1998,FALSE
"99","Adrian Lyne","Unfaithful",6,2002,FALSE
"100","Adrian Shergold","Pierrepoint",6,2007,FALSE
"101","Adrian Sitaru","Pescuit Sportiv",7,2007,FALSE
"102","Adrienne Shelly","Waitress",6.5,2007,FALSE
"103","Afonso Poyart","Solace",4,2016,FALSE
"104","Agnes Jaoui","Let It Rain",6.9,2008,FALSE
"105","Agnes Jaoui","Look at Me",7,2004,FALSE
"106","Agnes Jaoui","The Taste Of Others",6.4,2000,FALSE
"107","Agnes Jaoui: Look At Me","Comme Un Image",7.1,2004,FALSE
"108","Agnes Merlet","Quest for Camelot",4.1,1998,FALSE
"109","Agnes Trouble","My Name Is Hmmm",6.4,2015,FALSE
"110","Agni Varsha","The Fire and the Rain",6,2002,FALSE
"111","Agnieszka Holland","Burning Bush",7,2013,FALSE
"112","Agnieszka Holland","In Darkness",7,2011,FALSE
"113","Agnieszka Holland","Spoor",7.2,2017,FALSE
"114","Agnieszka Holland","The Third Miracle",7,1999,FALSE
"115","Agnieszka Smoczynska","The Lure",6.9,2015,FALSE
"116","Agnieszka Wojtowicz-Vosloo","After Life",5.9,2010,FALSE
