"name","averageRating","numVotes","V1","director","score","year","foreign"
"'R Xmas",5.8,1145,"32","Abel Ferrara",6,2002,FALSE
"$9.99",6.8,2928,"6567","Tatia Rosenthal",7.2,2008,FALSE
"$9.99",7.3,18,"6567","Tatia Rosenthal",7.2,2008,FALSE
"(500) Days of Summer",7.7,422048,"4230","Marc Webb",7,2009,FALSE
"(Untitled)",6.3,1977,"3484","Jonathan Parker",7,2009,FALSE
"+1",5.5,7038,"1770","Dennis Iliadis",6.8,2013,FALSE
"10",6.7,43,"184","Aleksandr Sokurov",6.9,2001,TRUE
"10",7.4,5,"184","Aleksandr Sokurov",6.9,2001,TRUE
"10",7.5,5944,"184","Aleksandr Sokurov",6.9,2001,TRUE
"10",6.9,9,"184","Aleksandr Sokurov",6.9,2001,TRUE
"10",6,13424,"184","Aleksandr Sokurov",6.9,2001,TRUE
"10",3.4,9,"184","Aleksandr Sokurov",6.9,2001,TRUE
"10 Cloverfield Lane",7.2,237529,"1437","Dan Trachtenberg",7,2016,FALSE
"10 Items or Less",6.7,13510,"848","Brad Silberling",6,2006,FALSE
"10 Items or Less",6.8,1201,"848","Brad Silberling",6,2006,FALSE
"10 Rules for Sleeping Around",3.7,2514,"4011","Leslie Greif",4,2014,FALSE
"10 Years",6.1,21469,"2827","Jamie Linden",5,2012,FALSE
"102 Dalmatians",4.9,29856,"3779","Kevin Lima",4,2000,FALSE
"11 Flowers",7.1,516,"6949","Wang Xiaoshuai",7,2011,FALSE
"11 minutes",5.7,1316,"3033","Jerzy Skolimowski",7,2015,FALSE
"11:55",4.8,382,"553","Ari Issler & Ben Snyder",6,2017,FALSE
"12 and Holding",7.6,6379,"4524","Michael Cuesta",7,2006,FALSE
"12 Strong",6.6,28214,"4892","Nicolai Fuglsig",5.9,2018,FALSE
"12 Years a Slave",8.1,538298,"6403","Steve McQueen",7,2013,FALSE
"12:08 East of Bucharest",7.4,6283,"1343","Corneliu Porumboiu",6.8,2006,FALSE
"127 Hours",7.6,309615,"1498","Danny Boyle",6.8,2010,FALSE
"13 Assassins",7.6,56160,"6523","Takashi Miike",6,2011,FALSE
"13 Assassins",7.6,626,"6523","Takashi Miike",6,2011,FALSE
"13 Cameras",5.1,2748,"6902","Victor Zarcoff",6,2016,FALSE
"13 Ghosts",5.6,71031,"6385","Steve Beck",4,2001,FALSE
"13 Ghosts",6.1,4209,"6385","Steve Beck",4,2001,FALSE
"13 Hours",7.3,93091,"4503","Michael Bay",5.7,2016,FALSE
"13 Hours",7.4,110,"4503","Michael Bay",5.7,2016,FALSE
"13 Sins",6.3,27652,"1483","Daniel Stamm",5,2014,FALSE
"13 Tzameti",7.4,15719,"2269","Gela Babluani",7.1,2005,FALSE
"14 Blades",6.4,6758,"1468","Daniel Lee",6,2014,FALSE
"1408",6.8,232754,"4669","Mikael Hafstrom",6,2007,FALSE
"15 Minutes",6.1,45245,"3269","John Herzfeld",6.9,2001,FALSE
